title,date,time,location,map_link,host,price,link,picture,description
Sharing is Caring - Steuerberatung 10/24,14.10.2024,15:00 - 18:00,"CUBE, Engesserstraße 9, 76131 Karlsruhe","https://www.google.com/maps/place/Center+for+Innovation+and+Entrepreneurship/@49.0119239,8.4095113,17z/data=!3m1!4b1!4m5!3m4!1s0x479706361effbc53:0x842eb6aa3b892d92!8m2!3d49.0119204!4d8.4117",KIT-Gründerschmiede,,"https://www.google.com/maps/place/Center+for+Innovation+and+Entrepreneurship/@49.0119239,8.4095113,17z/data=!3m1!4b1!4m5!3m4!1s0x479706361effbc53:0x842eb6aa3b892d92!8m2!3d49.0119204!4d8.4117",https://kit-gruenderschmiede.de/content/uploads/2024/05/14.10.24_SiC_Steuerberatung_1080x1080.png,"Sharing is Caring mit Mike Gottstein
          
        

        
                      
              In unserer nächsten Ausgabe von Sharing is Caring geht es um das Thema Steuerberatung. Mike Gottstein von Nowak & Partner führt euch informativ und kurzweilig durch das Thema.  Es stehen drei Slots zu je einer Stunde zur kostenlosen Verfügung. Du hast Interesse?

Dann stellt euch am besten vor und schicke uns bitte einfach eine kurze Nachricht zur gewünschten Teilnahmezeit an folgende friedrich.hasenbein@student.kit.edu.

Wir freuen uns auf dich!"
IMPULSE mit Gründerduo Kim & Sven von Twinvay,17.10.2024,16:00 - 19:00,"TRIANGEL Kultur | Transfer | Raum , Kaiserstraße 93, 76133 Karlsruhe",https://kit-gruenderschmiede.de/event/impulse-xantus-ko-tropfen-schutzarmband/#,KIT-Gründerschmiede,,https://kit-gruenderschmiede.de/event/impulse-xantus-ko-tropfen-schutzarmband/#,https://kit-gruenderschmiede.de/content/uploads/2024/01/Impulse_Xantus.png,"Safety First: Sicherer Feiern mit Xantus
          
        

        
                      
              Female Founders sind in der deutschen Wirtschaftswelt längst keine Randerscheinung mehr. Immer häufiger stehen Frauen an der Spitze erfolgreicher Unternehmen oder stehen hinter der Gründung innovativer Start-ups.

So wie Kim Eisenmann, die am KIT Wirtschaftsingenieurwesen studiert hat und bereits während ihres Studiums Geld für die Gründung ihres eigenen Unternehmens gespart hat. Seit 2016 ist Kim gemeinsam mit ihrem Partner Sven Eisenmann Mitgründerin und COO der Twinvay GmbH und hat es damit auf die Forbes Liste „30 under 30“ geschafft.

Ein Grund dafür ist ihr sehr erfolgreichen Produkt Xantus, mit dem sie sowohl Frauen als auch Männer ansprechen: Xantus ist das weltweit erste Armband, mit dessen Hilfe man ein Getränk auf K.O.-Tropfen testen kann. Mit ihrer Erfindung hat das Team auch den Sprung über den Teich geschafft: Seit 2024 ist Xantus auch in den USA erhältlich.

Im Rahmen der Frauenwirtschaftstage 2024 wird Kim Eisenmann beim IMPULSE-Abend über ihre spannende Reise als Gründerin sprechen, die sie zusammen mit ihrem Geschäftspartner Sven teilt. Gemeinsam werden sie an dem Abend auch berichten, was alles in den letzten Monaten seit ihrem Markteintritt in den USA passiert ist und welche neue Herausforderungen auf sie warten.

Der Abend beginnt mit dem IMPULS von Kim und Sven, nach dem es auch genügend Zeit für Frage und Antwort geben wird. Anschließend klingen wir den Abend gemeinsam aus und neben kühlen Getränken gibt es auch Möglichkeiten zum Networking in entspannter Atmosphäre.

Die IMPULSE- Veranstaltung findet in Zusammenarbeit mit der Geschäftsstelle Chancengleichheit am KIT statt."
122. Gründergrillen meets [x]Lab,23.10.2024,19:00 - 22:00,"Hochschule Karlsruhe (Geb. K), Moltkestraße 30, 76133 Karlsruhe",https://kit-gruenderschmiede.de/event/122-gruendergrillen-meets-xlab/#,[x]Lab,,https://kit-gruenderschmiede.de/event/122-gruendergrillen-meets-xlab/#,https://kit-gruenderschmiede.de/content/uploads/2024/01/122_Gruendergrillen_XLab.png,"122. Gründergrillen meets [x]Lab
          
        

        
                      
              Im Oktober findet das Gründergrillen zum letzten Mal vor der Winterpause statt. Für die fünfte Ausgabe 2024 sind wir zu Gast beim [x]Lab und freuen uns auf den gemeinsamen Abend.

Wenn du mit erfahrenen Gründer*innen in Kontakt kommen willst, dich über Geschäftsmodelle, Fehler und Erfahrungen austauschen willst oder auf der Suche nach neuen Teammitgliedern und Unterstützungsmöglichkeiten bist, dann ist das 122. Gründergrillen die optimale Gelegenheit dafür.

In entspannter Atmosphäre findet sich die Gründerfamilie bei Wurst (diesmal in Hotdog-Variante), Musik und kühlen Getränken auf dem Gelände der Hochschule Karlsruhe im Gebäude K zusammen.

Sei auch du Teil des Netzwerks und des Austauschs und komm vorbei!

Wir freuen uns, wenn du dich vorab für das Event anmeldest, damit wir entsprechend planen können. Einfach oben auf den Anmelde-Button klicken.
Danke."
Abschlussevent Ideenwettbewerb 2024 & Kick-off von GROW,02.11.2024,18:00 - 22:00,"TRIANGEL TRANSFER | KULTUR | RAUM, Kaiserstraße 93, 76133 Karlsruhe",https://kit-gruenderschmiede.de/event/abschlussevent-ideenwettbewerb-2024/#,"KIT-Gründerschmiede, PionierGarage e.V.",,https://kit-gruenderschmiede.de/event/abschlussevent-ideenwettbewerb-2024/,https://kit-gruenderschmiede.de/content/uploads/2024/09/Ideenwettbewerb.png,"Abschlussevent Ideenwettbewerb 2024 & Kick-off von GROW
          
        

        
                      
              Wir feiern gleich doppelt: erstens die Gewinnerinnen und Gewinner des Ideenwettbewerbs 2024  und zweitens den Start des größten deutschen studentischen Startup-Wettbewerbs GROW, organisiert durch die PionierGarage.
An diesem Abend bringen wir visionäre und innovative Studierende aus dem KIT in
Karlsruhe zusammen. Sie alle haben eines gemeinsam, sie wollen ihre unternehmerischen Träume in
die Realität umsetzen.

Beim  Ideenwettbewerb der KIT-Gründerschmiede hatten KIT-Studis die
Möglichkeit, ihre Idee per Video online einzureichen. Die Jury kürt die Plätze
eins bis fünf mit Geldpreisen und lädt die Finalistinnen und Finalisten zu einem Abend im TRIANGEL ein.

Nach der Preisverleihung geht es es gleich weiter mit dem Kick-off zum großen GROW
Wettbewerb. Selbst an diesem Tag können noch ganz Spontane ihre Teilnahme am
Gründungswettbewerb sichern. Das Team der PionierGarage unterstützt dabei über einen Zeitraum von elf Wochen mit Workshops, Mentoring und Zugang zu ihrem eigenen Startup-Netzwerk. Alles ist kostenlos und mit dem Ziel, den Teilnehmenden die wesentlichen Fähigkeiten zum Unternehmertum zu vermitteln. Hier findest du alle Infos zu GROW.

Nach dem Start und der Einführung für alle Teilnehmenden bleibt noch genügend Zeit für Networking in entspannter Atmosphäre."
1. Gründerglühwein 2024,06.11.2024,18:30,"CUBE, GEBÄUDE 30.29, ENGESSERSTRASSE 9, 76131 KARLSRUHE",https://kit-gruenderschmiede.de/event/gruendergluehwein-1-2024/#,KIT-Gründerschmiede,,https://kit-gruenderschmiede.de/event/gruendergluehwein-1-2024/,https://kit-gruenderschmiede.de/content/uploads/2024/09/Gruendergluehwein_1_deutsch.png,"1. Gründerglühwein 2024
          
        

        
                      
              Bist du bereit für den ersten Gründerglühwein der Saison?
Lass uns gemeinsam die kalte Jahreszeit einläuten und bei einem Glühwein Pläne für die kommenden Monate schmieden!

Wie immer kannst du hier ganz entspannt mit Gründerinnen und Gründern quatschen, dich über Geschäftsmodelle, Fehler und Learnings austauschen. Auf der Suche nach neuen Teammitgliedern oder einfach etwas Inspiration? Der Gründerglühwein ist die perfekte Gelegenheit, um dich mit der Community zu vernetzen!

Wir treffen uns am Mittwoch, den 6. November, ab 18:30 Uhr am CUBE auf dem Campus Süd.
Glühwein gibt’s natürlich kostenlos!

Wir freuen uns auf dich – und auf einen gemütlichen Start in die Wintersaison! Melde dich gerne zum Event an, damit wir besser planen können."
TECHimpulse: Academic-Industry Partnerships,03.12.2024,17:00 - 18:00,Online Session auf Zoom,https://foundersforge.typeform.com/to/yBY4l7tF,"KIT-Gründerschmiede, TECH4Transition",,https://kit-gruenderschmiede.de/event/techimpulse-academic-indutry-partnership/,https://kit-gruenderschmiede.de/content/uploads/2024/05/km_TECHimpulse_Save-the-date1.png,"In der Reihe TECHimpulse diskutieren wir über die Wichtigkeit der Zusammenarbeit zwischen Industrie und Academia.


          
        

        
                      
              Die Zusammenarbeit zwischen Industrie und akademischen Institutionen birgt enormes Potenzial, um Forschungsergebnisse schneller in die Praxis umzusetzen und gemeinsam innovative Lösungen zu entwickeln. Doch wie lässt sich diese Partnerschaft optimal gestalten? Welche Best Practices gibt es, und wie können Unternehmen und Hochschulen gleichermaßen profitieren?
 
In unseren TECHimpulse beleuchten Experten aus beiden Welten die Chancen und Herausforderungen solcher Kooperationen. Erfahre, wie Forschungskooperationen aufgebaut und langfristig erfolgreich geführt werden können, welche Fördermöglichkeiten bestehen und wie sich gemeinsame Projekte positiv auf die Innovationskraft auswirken können.
 
Nutze die Gelegenheit, praxisnahe Einblicke zu erhalten und wertvolle Kontakte für zukünftige Partnerschaften zu knüpfen. Das Format richtet sich an Unternehmen, Wissenschaftlerinnen und Wissenschaftler, Studierende und alle, die an der Schnittstelle zwischen Forschung und Wirtschaft interessiert sind.
 
Agenda:
– Begrüßung und Einführung
– Impulsvorträge (jeweils ca. 10 Minuten)
– Q&A-Sessions: Fragen stellen und persönliche Einblicke gewinnen
 
Sei dabei und gestalte die Zukunft durch die Zusammenarbeit von Wissenschaft und Wirtschaft!
 
TECHimpulse ist ein Modul von TECH4Transition, das am KIT entwickelt und in Zusammenarbeit mit der GIZ durchgeführt wird."
2. Gründerglühwein 2024,05.12.2024,18:30,"TRIANGEL KULTUR | TRANSFER | RAUM , KAISERSTRASSE 93, 76133 KARLSRUHE",https://kit-gruenderschmiede.de/event/gruendergluehwein-2-2024/#,KIT-Gründerschmiede,,https://kit-gruenderschmiede.de/event/gruendergluehwein-2-2024/,https://kit-gruenderschmiede.de/content/uploads/2024/09/Gruendergluehwein_2_deutsch.png,"2. Gründerglühwein 2024
          
        

        
                      
              Wir gehen direkt in die 2. Auflage des Jahres.

Wie immer kannst du hier ganz entspannt mit Gründerinnen und Gründern quatschen, dich über Geschäftsmodelle, Fehler und Learnings austauschen. Auf der Suche nach neuen Teammitgliedern oder einfach etwas Inspiration? Der Gründerglühwein ist die perfekte Gelegenheit, um dich mit der Community zu vernetzen!

Wir treffen uns am Donnerstag, den 5. Dezember, ab 18:30 Uhr im TRIANGEL am Kronenplatz. Glühwein gibt’s natürlich kostenlos!  Wir freuen uns auf dich – und auf einen gemütlichen Abend in der Vorweihnachtszeit!

Melde dich gerne zum Event an, damit wir besser planen können."
CareerContacts24 - die Firmenkontaktmesse der HKA,"21.
    Okt.

                    -
                    
    25.
    Okt.
    2024","09:30
            -
            15:30","Hochschule Karlsruhe - Technik und Wirtschaft,
Moltkestr. 30,
76133 Karlsruhe","https://www.google.de/maps/place/Hochschule+Karlsruhe+-+Technik+und+Wirtschaft/@49.0148843,8.3883913,18z/data=!3m1!4b1!4m5!3m4!1s0x47970655c93736cb:0xd22a15360f09024d!8m2!3d49.0148828!4d8.3893115",Hochschule Karlsruhe,kostenfrei,https://www.cyberforum.de/veranstaltungen/careercontacts24-die-firmenkontaktmesse-der-hka-21-10-2024,https://www.cyberforum.de/fileadmin/user_upload/_processed_/f/1/csm_Feed_3b9f5fc011.jpg,"In diesem Jahr feiern wir ein ganz besonderes Jubiläum: 20 Jahre CareerContacts – 20 Jahre voller wertvoller Begegnungen, spannender Karrieremöglichkeiten und inspirierender Veranstaltungen. Wir sind stolz darauf, dass unsere Messe seit zwei Jahrzehnten eine bedeutende Plattform für den Austausch zwischen Studierenden, Absolventen und Arbeitgebern darstellt.  Informationen zu den Austellern und zum Programm finden Sie auf unserer Website unterwww.h-ka.de/careercontactsWir freuen uns auf Ihren Besuch!"
Öffentliche Fördermittel: EXIST bis EIC,"22.
    Okt.
    2024","09:00
            -
            12:00",Zoom via Online Workshop,"https://maps.google.de/maps/?q=via,Online%20Workshop",CyberForum e.V.,kostenfrei,https://www.cyberforum.de/veranstaltungen/oeffentliche-foerdermittel-exist-bis-eic-22-10-2024,https://www.cyberforum.de/fileadmin/user_upload/_processed_/a/7/csm_2024_CBL_EXI_Gruendungsowrkshop_Header_ce733ae0cd.png,"Auch bei Fördermitteln gilt: Das richtige Werkzeug für die richtige Aufgabe. In diesem Workshop werden strategische Überlegungen zu den wichtigsten Förderprogrammen aus der Perspektive eines Gründers beleuchtet. Im Anschluss besteht die Möglichkeit, offene Fragen praxisnah zu klären.   Am Ende der Veranstaltung werden die Teilnehmenden:   - einen klaren Überblick über die Förderlandschaft gewonnen haben - die Chancen, Risiken und den Aufwand der relevanten Programme einschätzen können - konkrete Maßnahmen identifiziert und priorisiert haben, die für ihr Unternehmen in Frage kommen.   Die Veranstaltung ist interaktiv gestaltet und lädt alle, die möchten, zur aktiven Teilnahme ein.
Referent
Lorenz Nicolay
Durch Gründungen im Life-Science- und IT-Bereich verfügt Lorenz über umfassende Erfahrung im Fundraising, der Akquise öffentlicher Fördermittel sowie in der praktischen Umsetzung von Projekten. Dabei behält Lorenz die Vor- und Nachteile der einzelnen Programme im Vergleich zu den individuellen Unternehmenszielen fest im Fokus. Heute unterstützt er mit seinem Beratungsunternehmen Raissistance andere Gründende in diesen Bereichen.
Anmeldung
Der Workshop ist für die Teilnehmenden kostenlos, da er über den EXI Digital BW Gründungsgutschein finanziert wird.
Anmeldung über Mail an gruenden@cyberforum.de mit Angabe des Namens und einer kurzen Beschreibung der derzeitigen Situation. Es wird anschließend ein Fragebogen zugeschickt, der für die Förderer des Gründungsgutscheins (Land Baden-Württemberg, Europäischer Sozialfonds und Europäische Union) benötigt wird.
EXI Digital BW Gründungsgutschein ESF Plus
Mit dem Projekt EXI Digital BW Gründungsgutschein ESF Plus unterstützt der CyberForum e.V. Gründungsinteressierte und Gründer, die in Baden-Württemberg gründen möchten.
Der Gründungsgutschein ist branchenoffen. Die einzige Voraussetzung ist, dass digitale Geschäftsmodelle oder Technologien eine Rolle spielen oder spielen könnten.
Kofinanziert vom Ministerium für Wirtschaft, Arbeit und Tourismus Baden-Württemberg aus Mitteln des Europäischen Sozialfonds (ESF) und des Landes Baden-Württemberg.

Über European Digital Innovation Hub Applied Artificial Intelligence and CyberSecurity (EDIH-AICS)
Das EDIH-AICS ist ein europäisches Projekt, das darauf abzielt Künstliche Intelligence und Cybersicherheit in den Bereichen Produktion, Mobilität, Energie, Handel und Dienstleistungen sowie bei Kommunen Europaweit zu stärken und voranzubringen.
Gemeinsam mit exzellenten Partnern aus der erweiterten TechnologieRegion Karlsruhe bietet das CyberForum Angebote für lokale, nationale und europäische kleine und mittlere Unternehmen (KMU), Start-ups und Organisationen des öffentlichen Sektors an, um ihre Unternehmen zu digitalisieren. 
Das Projekt wird gefördert durch das Digital Europe Programme (DIGITAL) Rahmenprogramm der Europäischen Union unter der Grant Agreement Nummer 101083994 und erfolgt über einen Zeitraum von 36 Monaten."
ELSAs in der Praxis,"22.
    Okt.
    2024","09:00
            -
            16:30",FZI Forschungszentrum Informatik Haid-und-Neu-Straße 5a 76131 Karlsruhe,"https://maps.google.de/maps/?q=Haid-und-Neu-Stra%C3%9Fe%205a,76131%20Karlsruhe",CyberForum e.V.,kostenfrei,https://www.cyberforum.de/veranstaltungen/elsas-in-der-praxis-22-10-2024,https://www.cyberforum.de/fileadmin/user_upload/_processed_/7/f/csm_image002_a48e272fed.png,"Die rechtliche Umsetzung von KI-Systemen
Der Einsatz von KI-Systemen im Unternehmenskontext beschäftigt weltweit viele Konzerne. Die vielfältigen Einsatzmöglichkeiten von KI-Systemen reichen dabei von der Auswertung von Bewerbungsunterlagen über die Erstellung von Sitzungsprotokollen bis hin zur Vervollständigung von Arbeitsergebnissen. Diese mannigfaltigen Einsatzmöglichkeiten in unterschiedlichen Bereichen von „Arbeit“ tangieren auch das Recht. Im Workshop wird nicht nur darüber berichtet, sondern auch die Möglichkeit gegeben, selbst zu erfahren, wie KI-Systeme aus rechtlicher Sicht in den Arbeitsalltag integriert werden können. Im Workshop wird euch mit der rechtlichen Perspektive der Implementierung von KI-Systemen im Unternehmen vertraut machen. Dabei soll es neben den bisher im KARL-Konsortium behandelten Themen wie Haftung, Arbeitsrecht oder Datenschutz auch um die Anforderungen aus der KI-Verordnung gehen.
Die am 01.08.24 in Kraft getretene KI-Verordnung regelt maßgeblich den Einsatz und Umgang mit KI-Systemen. Dabei sind auch nach der formalen Fertigstellung des Gesetzes noch viele Passagen und Abschnitte unklar. Auch das Verhältnis der KI-Verordnung zu anderen Verordnungen und Richtlinien, die dem europäischen „Datenrecht“ zuzuordnen sind (z.B. DSGVO, Data Act), ist noch nicht vollständig geklärt. Auch hierauf wird im Rahmen des Workshops ein Blick geworfen.
Ziel des Workshops
Das Ziel ist es, euch nicht nur die rechtlichen Rahmenbedingungen näherzubringen, sondern auch praktische Ansätze zu diskutieren, wie Unternehmen diese Vorgaben in der Praxis umsetzen können. So soll sichergestellt werden, dass ihr nach dem Workshop nicht nur informiert, sondern auch befähigt seid, die Herausforderungen und Chancen, die mit der Einführung von KI-Systemen verbunden sind, besser verstehen und aktiv angehen zu können.
Anmeldung
Weitere Informationen sowie die Möglichkeit zur Anmeldung findet ihr hier.

Über das Kompetenzzentrum KARL
KARL ist eins von aktuell elf regionalen Kompetenzzentren, das die Auswirkungen von Künstlicher Intelligenz (KI) auf die Lern- und Arbeitswelt untersucht. Ziel von KARL ist es, menschenzentrierte, transparente und lernförderliche, KI-unterstützte Arbeits- und Lernsysteme zu konzipieren und in konkreten Praxisanwendungen vorzeigbar zu machen.
Die Region Karlsruhe mit dem nationalen Digital Hub angewandte KI und einem der führenden IT-Cluster in Europa bietet dafür großes Entwicklungspotenzial. Konsortialführer ist die Hochschule Karlsruhe. Projektpartner sind neben neun Forschungs- bzw. Transferpartnern auch elf regionale Unternehmen. Bis 2025 wird KARL vom Bundesministerium für Bildung und Forschung (BMBF) mit knapp acht Millionen Euro gefördert."
